Source,Destination,Distance(M)
City_1,City_106,10527998
City_1,City_108,10236840
City_1,City_11,1051987
City_1,City_118,16858287
City_1,City_122,7628489
City_1,City_128,4255890
City_1,City_137,8204335
City_1,City_138,10605732
City_1,City_141,8761430
City_1,City_142,8588617
City_1,City_143,7113651
City_1,City_150,9704641
City_1,City_152,9393396
City_1,City_158,8328193
City_1,City_17,3752714
City_1,City_23,12932063
City_1,City_24,11638860
City_1,City_29,13458051
City_1,City_31,13046325
City_1,City_35,8884157
City_1,City_38,9299456
City_1,City_47,2023286
City_1,City_51,641025
City_1,City_53,2603175
City_1,City_62,4050906
City_1,City_63,5937072
City_1,City_66,8120756
City_1,City_72,1622967
City_1,City_75,1104435
City_1,City_79,2457643
City_1,City_84,9341946
City_1,City_85,9250268
City_1,City_92,8326705
City_1,City_98,8517531
City_1,City_99,9596009
City_10,City_106,9401605
City_10,City_108,9099297
City_10,City_11,236949
City_10,City_118,15705585
City_10,City_122,7819557
City_10,City_128,5007188
City_10,City_137,8138564
City_10,City_138,11523697
City_10,City_141,9437862
City_10,City_142,9228262
City_10,City_143,6583648
City_10,City_150,9248993
City_10,City_152,8946109
City_10,City_158,7766333
City_10,City_17,3992368
City_10,City_23,11816827
City_10,City_24,10548354
City_10,City_29,12305127
City_10,City_31,11895797
City_10,City_35,8298178
City_10,City_38,8707671
City_10,City_47,1012364
City_10,City_51,1059333
City_10,City_53,3758242
City_10,City_62,4900927
City_10,City_63,6159908
City_10,City_66,8086512
City_10,City_72,468846
City_10,City_75,357765
City_10,City_79,1548707
City_10,City_84,8760054
City_10,City_85,8654494
City_10,City_92,7768180
City_10,City_98,8281249
City_10,City_99,8981623
City_100,City_106,7647608
City_100,City_108,7316820
City_100,City_118,8391438
City_100,City_122,4982200
City_100,City_128,8362368
City_100,City_137,3568063
City_100,City_138,9807317
City_100,City_141,7744044
City_100,City_142,7489069
City_100,City_143,2542972
City_100,City_150,1262590
City_100,City_152,1295355
City_100,City_158,1357617
City_100,City_23,5369613
City_100,City_24,8503703
City_100,City_29,6567496
City_100,City_31,7418107
City_100,City_35,809284
City_100,City_38,484518
City_100,City_47,9100563
City_100,City_51,9920204
City_100,City_53,10938749
City_100,City_62,8866896
City_100,City_63,5653579
